quality,pH,volatile acidity,alcohol
5,3.51,0.7,9.4
5,3.2,0.88,9.8
5,3.26,0.76,9.8
6,3.16,0.28,9.8
5,3.51,0.7,9.4
5,3.51,0.66,9.4
5,3.3,0.6,9.4
7,3.39,0.65,10
7,3.36,0.58,9.5
5,3.35,0.5,10.5
5,3.28,0.58,9.2
5,3.35,0.5,10.5
5,3.58,0.615,9.9
5,3.26,0.61,9.1
7,3.3,0.28,10.5
5,3.11,0.56,9.3
4,3.38,0.59,9
6,0.6,0.4,0.56
6,0.55,0.35,0.4
6,0.7,0.7,0.7
6,0.6,0.66,0.55
6,0.45,0.66,0.45
6,0.5,0.5,0.5
6,0.8,0.8,0.8
6,0.6,0.6,0.4
6,0.6,0.6,0.4
5,0.6,0.6,0.3
6,0.5,0.5,0.56
5,0.56,0.45,0.65
6,0.45,0.34,0.45
5,0.45,0.65,0.67
6,0.65,0.65,0.35
6,0.5,0.56,0.56
7,0.8,0.8,0.8
7,0.5,0.5,0.5
7,0.5,0.5,0.5
6,0.5,0.5,0.5
6,0.5,0.4,0.56
5,0.65,0.65,0.65
5,0.56,0.54,0.56
5,0.45,0.53,0.56
6,0.54,0.65,0.34
5,0.54,0.65,0.45
5,0.54,0.65,0.34
6,0.45,0.65,0.34
5,0.54,0.45,0.65
6,0.45,0.65,0.34
